OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,Country
1,2023-10-23,73,7,3,144.39,4.11,India
2,2022-07-31,98,14,2,1106.6,67.81,India
3,2024-08-18,89,13,1,408.96,69.07,India
4,2023-12-05,9,12,2,1060.53,168.99,India
5,2024-03-29,171,20,5,466.94,14.82,India
6,2024-06-08,83,12,5,1060.53,144.56,India
7,2022-05-21,13,13,5,408.96,41.04,India
8,2023-03-03,48,15,2,1364.09,269.58,India
9,2023-12-28,157,9,3,137.15,12.83,India
10,2024-06-29,113,21,3,848.37,100.33,India
11,2023-12-22,70,18,2,1218.1,155.96,India
12,2022-08-03,174,12,3,1060.53,102.31,India
13,2022-08-11,197,1,4,421.52,79.0,India
14,2022-07-11,142,2,3,881.56,16.31,India
15,2024-10-28,89,17,4,1187.13,184.1,India
16,2023-01-30,185,14,1,1106.6,152.4,India
17,2024-07-13,82,15,2,1364.09,234.02,India
18,2024-01-19,43,5,1,287.72,38.16,India
19,2023-04-13,128,2,5,881.56,141.25,India
20,2023-03-08,54,22,5,281.27,23.97,India
21,2023-06-14,5,12,5,1060.53,125.82,India
22,2024-01-30,4,13,1,408.96,44.1,India
23,2024-05-17,41,5,1,287.72,11.17,India
24,2023-07-01,67,19,4,1293.17,69.7,India
25,2024-08-25,177,4,5,93.9,5.73,India
26,2023-03-11,174,3,5,892.57,21.55,India
27,2023-02-26,98,13,3,408.96,76.55,India
28,2022-07-08,115,15,2,1364.09,228.31,India
29,2022-01-25,63,17,5,1187.13,123.97,India
30,2022-11-05,76,24,3,362.1,23.71,India
31,2022-06-20,65,3,3,892.57,130.54,India
32,2022-10-08,158,20,5,466.94,44.48,India
33,2023-06-11,190,6,4,682.88,53.53,India
34,2023-05-06,102,17,3,1187.13,65.27,India
35,2023-02-01,28,21,4,848.37,152.26,India
36,2022-09-29,5,19,3,1293.17,121.28,India
37,2024-12-01,73,4,4,93.9,15.18,India
38,2023-06-21,8,20,2,466.94,73.84,India
39,2023-11-11,142,22,4,281.27,28.3,India
40,2022-10-19,122,6,2,682.88,98.54,India
41,2022-05-18,46,24,1,362.1,57.8,India
42,2023-07-10,47,8,5,1373.73,268.43,India
43,2023-05-30,9,3,4,892.57,107.45,India
44,2024-06-23,192,11,4,186.02,4.79,India
45,2022-04-26,28,4,2,93.9,17.66,India
46,2024-08-20,39,22,5,281.27,13.56,India
47,2023-07-21,187,17,2,1187.13,84.63,India
48,2024-01-23,139,17,1,1187.13,221.25,India
49,2023-10-21,47,4,5,93.9,11.61,India
50,2023-09-18,80,2,2,881.56,54.36,India
51,2023-04-18,139,14,5,1106.6,32.05,India
52,2024-09-30,141,23,3,1250.88,207.05,India
53,2022-12-08,148,21,4,848.37,124.56,India
54,2022-02-18,187,6,4,682.88,133.59,India
55,2022-08-18,132,5,3,287.72,2.37,India
56,2022-10-26,135,23,2,1250.88,65.64,India
57,2022-04-28,7,4,5,93.9,4.35,India
58,2022-01-04,164,13,5,408.96,71.11,India
59,2022-08-04,64,12,2,1060.53,56.6,India
60,2024-10-30,81,5,5,287.72,10.01,India
61,2022-05-17,197,12,5,1060.53,204.87,India
62,2024-04-25,84,5,2,287.72,24.13,India
63,2023-02-08,38,6,3,682.88,20.06,India
64,2023-12-23,74,20,3,466.94,60.48,India
65,2022-05-17,119,5,3,287.72,6.54,India
66,2024-05-21,110,4,2,93.9,0.44,India
67,2022-04-20,136,2,4,881.56,12.08,India
68,2022-06-17,174,23,5,1250.88,143.07,India
69,2022-04-21,139,13,1,408.96,28.09,India
70,2023-02-14,135,19,4,1293.17,0.57,India
71,2022-06-01,37,23,1,1250.88,229.56,India
72,2022-09-11,167,15,4,1364.09,223.75,India
73,2022-02-18,168,7,2,144.39,23.71,India
74,2023-07-11,165,20,5,466.94,8.62,India
75,2022-05-18,17,17,5,1187.13,54.43,India
76,2024-05-04,10,16,3,840.53,78.43,India
77,2024-06-22,44,15,3,1364.09,194.32,India
78,2022-04-09,27,10,5,455.13,43.21,India
79,2024-05-17,198,25,2,1155.59,123.4,India
80,2022-07-29,49,18,3,1218.1,39.84,India
81,2022-12-25,99,6,3,682.88,64.52,India
82,2024-07-02,117,12,5,1060.53,160.85,India
83,2023-02-22,32,6,5,682.88,66.86,India
84,2022-05-05,177,25,5,1155.59,141.93,India
85,2022-06-05,115,11,3,186.02,25.93,India
86,2022-07-05,161,12,5,1060.53,9.54,India
87,2024-11-11,68,9,2,137.15,8.2,India
88,2022-08-12,158,15,4,1364.09,91.96,India
89,2023-12-17,45,15,1,1364.09,223.12,India
90,2023-02-24,141,3,5,892.57,65.64,India
91,2023-03-18,13,3,2,892.57,55.99,India
92,2024-01-12,173,5,3,287.72,0.17,India
93,2022-02-17,133,5,5,287.72,7.23,India
94,2024-10-05,18,24,2,362.1,10.27,India
95,2024-11-30,22,23,2,1250.88,190.34,India
96,2023-10-24,70,24,1,362.1,0.19,India
97,2023-02-02,176,1,2,421.52,6.54,India
98,2022-03-08,96,10,1,455.13,66.77,India
99,2022-04-22,173,5,1,287.72,30.91,India
100,2022-09-28,91,22,4,281.27,11.65,India
101,2023-12-23,95,20,2,466.94,28.03,India
102,2024-01-17,91,22,4,281.27,35.22,India
103,2024-09-14,189,6,2,682.88,59.96,India
104,2022-05-30,137,14,3,1106.6,217.46,India
105,2022-05-27,19,11,3,186.02,4.24,India
106,2022-10-06,181,9,1,137.15,6.29,India
107,2022-01-02,188,9,5,137.15,24.03,India
108,2023-10-21,96,12,3,1060.53,16.86,India
109,2024-12-30,31,3,5,892.57,70.85,India
110,2023-06-04,106,17,5,1187.13,232.03,India
111,2022-05-22,114,4,1,93.9,8.83,India
112,2022-05-12,76,4,3,93.9,9.18,India
113,2022-05-07,108,2,5,881.56,41.49,India
114,2023-05-20,152,5,5,287.72,2.58,India
115,2024-04-23,130,17,2,1187.13,55.78,India
116,2022-07-04,170,2,3,881.56,42.22,India
117,2022-08-17,163,14,1,1106.6,217.64,India
118,2023-10-14,87,4,5,93.9,13.29,India
119,2022-10-09,103,1,5,421.52,46.17,India
120,2024-04-04,187,6,3,682.88,83.59,India
121,2022-04-06,116,22,5,281.27,10.28,India
122,2023-09-10,18,12,1,1060.53,43.55,India
123,2024-04-27,53,24,2,362.1,36.81,India
124,2024-05-05,37,22,4,281.27,18.89,India
125,2023-12-18,101,25,3,1155.59,43.59,India
126,2022-01-04,113,10,2,455.13,74.06,India
127,2024-10-11,144,4,1,93.9,0.46,India
128,2023-04-06,189,19,5,1293.17,95.83,India
129,2022-12-31,135,1,2,421.52,54.12,India
130,2023-01-03,93,6,3,682.88,21.75,India
131,2023-11-06,171,2,3,881.56,6.05,India
132,2022-12-22,119,3,4,892.57,70.38,India
133,2023-02-04,85,15,3,1364.09,48.9,India
134,2022-09-12,107,16,3,840.53,115.9,India
135,2023-07-04,152,2,2,881.56,73.58,India
136,2024-10-14,24,14,4,1106.6,122.21,India
137,2024-01-06,75,13,1,408.96,37.71,India
138,2022-10-25,97,5,5,287.72,4.99,India
139,2022-12-08,132,12,1,1060.53,167.21,India
140,2022-02-13,168,20,2,466.94,35.16,India
141,2023-11-12,50,1,2,421.52,74.35,India
142,2022-08-14,200,11,2,186.02,13.08,India
143,2024-03-18,46,12,5,1060.53,173.88,India
144,2022-02-25,123,12,4,1060.53,194.97,India
145,2022-04-11,67,17,4,1187.13,62.97,India
146,2023-06-23,42,11,2,186.02,30.81,India
147,2024-12-10,9,24,2,362.1,59.16,India
148,2022-08-24,55,24,5,362.1,19.63,India
149,2024-06-09,72,5,2,287.72,5.08,India
150,2022-09-26,126,25,4,1155.59,132.98,India
151,2024-02-20,9,22,3,281.27,13.53,India
152,2022-07-22,196,5,2,287.72,2.68,India
153,2023-04-27,34,12,3,1060.53,184.12,India
154,2022-12-25,146,16,3,840.53,34.92,India
155,2024-12-01,19,16,4,840.53,142.23,India
156,2023-10-17,10,15,2,1364.09,23.38,India
157,2023-05-22,14,14,4,1106.6,200.47,India
158,2024-02-17,140,17,4,1187.13,41.54,India
159,2023-08-28,71,11,3,186.02,32.93,India
160,2022-01-15,75,10,2,455.13,47.89,India
161,2022-01-27,35,7,4,144.39,17.75,India
162,2023-10-16,21,20,2,466.94,44.24,India
163,2022-04-05,83,24,3,362.1,54.52,India
164,2022-05-23,170,25,1,1155.59,119.14,India
165,2023-01-23,62,23,3,1250.88,47.07,India
